age,type_employer,education,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,income
39,Other-Govt,Bachelors,Never-Married,Admin,Not-in-family,White,Male,Low,None,40,United-States,LessThan50K
50,Self-Employed,Bachelors,Married,White-Collar,Husband,White,Male,None,None,13,United-States,LessThan50K
38,Private,HS-grad,Not-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,LessThan50K
53,Private,Dropout,Married,Blue-Collar,Husband,Black,Male,None,None,40,United-States,LessThan50K
28,Private,Bachelors,Married,Professional,Wife,Black,Female,None,None,40,Other,LessThan50K
37,Private,Masters,Married,White-Collar,Wife,White,Female,None,None,40,United-States,LessThan50K
49,Private,Dropout,Not-Married,Service,Not-in-family,Black,Female,None,None,16,Latin-America,LessThan50K
52,Self-Employed,HS-grad,Married,White-Collar,Husband,White,Male,None,None,45,United-States,GreaterThan50K
31,Private,Masters,Never-Married,Professional,Not-in-family,White,Female,High,None,50,United-States,GreaterThan50K
42,Private,Bachelors,Married,White-Collar,Husband,White,Male,Low,None,40,United-States,GreaterThan50K
37,Private,HS-Graduate,Married,White-Collar,Husband,Black,Male,None,None,80,United-States,GreaterThan50K
30,Other-Govt,Bachelors,Married,Professional,Husband,Asian,Male,None,None,40,British-Commonwealth,GreaterThan50K
23,Private,Bachelors,Never-Married,Admin,Own-child,White,Female,None,None,30,United-States,LessThan50K
32,Private,Associates,Never-Married,Sales,Not-in-family,Black,Male,None,None,50,United-States,LessThan50K
34,Private,Dropout,Married,Blue-Collar,Husband,Amer-Indian,Male,None,None,45,Latin-America,LessThan50K
25,Self-Employed,HS-grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,35,United-States,LessThan50K
32,Private,HS-grad,Never-Married,Blue-Collar,Unmarried,White,Male,None,None,40,United-States,LessThan50K
38,Private,Dropout,Married,Sales,Husband,White,Male,None,None,50,United-States,LessThan50K
43,Self-Employed,Masters,Not-Married,White-Collar,Unmarried,White,Female,None,None,45,United-States,GreaterThan50K
40,Private,Doctorate,Married,Professional,Husband,White,Male,None,None,60,United-States,GreaterThan50K
54,Private,HS-grad,Not-Married,Service,Unmarried,Black,Female,None,None,20,United-States,LessThan50K
35,Federal-Govt,Dropout,Married,Blue-Collar,Husband,Black,Male,None,None,40,United-States,LessThan50K
43,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,High,40,United-States,LessThan50K
59,Private,HS-grad,Not-Married,Other-Occupations,Unmarried,White,Female,None,None,40,United-States,LessThan50K
56,Other-Govt,Bachelors,Married,Other-Occupations,Husband,White,Male,None,None,40,United-States,GreaterThan50K
19,Private,HS-grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,40,United-States,LessThan50K
39,Private,HS-grad,Not-Married,White-Collar,Not-in-family,White,Male,None,None,80,United-States,LessThan50K
49,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
23,Other-Govt,Associates,Never-Married,Other-Occupations,Not-in-family,White,Male,None,None,52,United-States,LessThan50K
20,Private,HS-Graduate,Never-Married,Sales,Own-child,Black,Male,None,None,44,United-States,LessThan50K
45,Private,Bachelors,Not-Married,White-Collar,Own-child,White,Male,None,Low,40,United-States,LessThan50K
30,Federal-Govt,HS-Graduate,Married,Admin,Own-child,White,Male,None,None,40,United-States,LessThan50K
22,Other-Govt,HS-Graduate,Married,Service,Husband,Black,Male,None,None,15,United-States,LessThan50K
48,Private,Dropout,Never-Married,Blue-Collar,Unmarried,White,Male,None,None,40,Latin-America,LessThan50K
21,Private,HS-Graduate,Never-Married,Blue-Collar,Own-child,White,Male,None,None,40,United-States,LessThan50K
19,Private,HS-grad,Married,Admin,Wife,White,Female,None,None,25,United-States,LessThan50K
48,Self-Employed,Associates,Married,Professional,Husband,White,Male,None,None,40,United-States,LessThan50K
31,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,43,United-States,LessThan50K
53,Self-Employed,Bachelors,Married,Professional,Husband,White,Male,None,None,40,United-States,LessThan50K
24,Private,Bachelors,Married,Other-Occupations,Husband,White,Male,None,None,50,United-States,LessThan50K
49,Private,HS-grad,Not-Married,Admin,Unmarried,White,Female,None,None,40,United-States,LessThan50K
25,Private,HS-grad,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,35,United-States,LessThan50K
57,Federal-Govt,Bachelors,Married,Professional,Husband,Black,Male,None,None,40,United-States,GreaterThan50K
53,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,38,United-States,LessThan50K
44,Private,Masters,Not-Married,White-Collar,Unmarried,White,Female,None,None,40,United-States,LessThan50K
41,Other-Govt,Associates,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
29,Private,Associates,Never-Married,Professional,Not-in-family,White,Male,None,None,43,United-States,LessThan50K
25,Private,HS-Graduate,Married,White-Collar,Wife,Other,Female,None,None,40,United-States,LessThan50K
47,Private,Prof-School,Married,Professional,Wife,White,Female,None,High,60,Latin-America,GreaterThan50K
50,Federal-Govt,Bachelors,Not-Married,White-Collar,Not-in-family,White,Male,None,None,55,United-States,GreaterThan50K
47,Self-Employed,HS-grad,Not-Married,White-Collar,Not-in-family,White,Male,None,None,60,United-States,LessThan50K
43,Private,HS-Graduate,Married,Other-Occupations,Husband,White,Male,None,None,40,United-States,GreaterThan50K
46,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,40,Latin-America,LessThan50K
35,Private,Associates,Married,Service,Husband,White,Male,None,None,40,Latin-America,LessThan50K
41,Private,HS-grad,Married,Admin,Husband,White,Male,None,None,48,United-States,LessThan50K
30,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,Low,None,40,United-States,LessThan50K
30,Private,Bachelors,Married,Sales,Husband,White,Male,Low,None,40,United-States,LessThan50K
48,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
42,Private,Doctorate,Married,Professional,Husband,White,Male,None,None,45,United-States,GreaterThan50K
29,Private,HS-Graduate,Not-Married,Other-Occupations,Not-in-family,White,Male,None,None,58,United-States,LessThan50K
36,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
28,Private,HS-Graduate,Not-Married,Admin,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
53,Private,HS-grad,Married,Admin,Wife,White,Female,None,None,40,United-States,GreaterThan50K
49,Self-Employed,HS-Graduate,Married,White-Collar,Husband,White,Male,None,None,50,United-States,GreaterThan50K
19,Private,HS-Graduate,Never-Married,Professional,Own-child,White,Male,None,None,32,United-States,LessThan50K
31,Private,Bachelors,Not-Married,Sales,Own-child,Black,Female,None,None,40,United-States,LessThan50K
29,Self-Employed,Bachelors,Married,Sales,Husband,White,Male,None,None,70,United-States,GreaterThan50K
23,Private,HS-Graduate,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,LessThan50K
79,Private,HS-Graduate,Married,Professional,Other-relative,White,Male,None,None,20,United-States,LessThan50K
27,Private,HS-grad,Never-Married,Service,Own-child,White,Male,None,None,40,Latin-America,LessThan50K
40,Private,Associates,Married,Admin,Husband,White,Male,None,None,40,United-States,LessThan50K
18,Private,Dropout,Never-Married,Service,Own-child,White,Female,None,None,22,United-States,LessThan50K
31,Other-Govt,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
18,Private,HS-grad,Never-Married,Sales,Not-in-family,White,Male,None,None,30,United-States,LessThan50K
52,Private,Bachelors,Married,Service,Husband,White,Male,None,None,40,Other,LessThan50K
46,Private,HS-grad,Married,Service,Wife,White,Female,None,None,40,United-States,LessThan50K
59,Private,HS-grad,Married,Sales,Husband,White,Male,None,None,48,United-States,LessThan50K
44,Private,HS-grad,Not-Married,Blue-Collar,Not-in-family,White,Female,High,None,40,United-States,GreaterThan50K
53,Private,HS-grad,Not-Married,Sales,Own-child,White,Female,None,None,35,United-States,LessThan50K
49,Other-Govt,HS-grad,Married,Other-Occupations,Husband,White,Male,None,None,40,United-States,GreaterThan50K
33,Private,Masters,Married,Professional,Husband,White,Male,None,None,50,United-States,LessThan50K
30,Private,Dropout,Never-Married,Sales,Not-in-family,White,Male,None,None,40,United-States,LessThan50K
43,Federal-Govt,Doctorate,Never-Married,Professional,Not-in-family,White,Female,None,None,50,United-States,GreaterThan50K
57,Private,Associates,Married,Professional,Husband,White,Male,None,None,40,United-States,LessThan50K
37,Private,HS-Graduate,Not-Married,Blue-Collar,Unmarried,White,Female,None,None,40,United-States,LessThan50K
28,Private,HS-Graduate,Not-Married,Blue-Collar,Unmarried,Black,Female,None,None,25,United-States,LessThan50K
34,Other-Govt,Bachelors,Married,Other-Occupations,Husband,White,Male,None,None,40,United-States,GreaterThan50K
29,Other-Govt,HS-Graduate,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,50,United-States,LessThan50K
48,Self-Employed,Doctorate,Married,Professional,Husband,White,Male,None,High,60,United-States,GreaterThan50K
37,Private,HS-Graduate,Married,Sales,Husband,White,Male,None,None,48,United-States,GreaterThan50K
48,Private,Associates,Not-Married,White-Collar,Unmarried,White,Female,None,None,40,British-Commonwealth,LessThan50K
32,Federal-Govt,HS-grad,Never-Married,Service,Own-child,Black,Male,None,None,40,United-States,LessThan50K
76,Private,Masters,Married,White-Collar,Husband,White,Male,None,None,40,United-States,GreaterThan50K
